full_address_or_zip_code,zipcode,date_of_sale,sale_year,zone,cats_allowed,dogs_allowed,coop_condo,garage_exists,num_bedrooms,num_floors_in_building,num_full_bathrooms,num_half_bathrooms,num_total_rooms,dining_room_type,fuel_type,kitchen_type,community_district_num,approx_year_built,sq_footage,walk_score,maintenance_cost,parking_charges,sale_price
"87-56 Francis Lewis Blvd,  Holliswood NY, 11423",11423,2017-02-03,2017.0,4.0,0,0,1,1,1,7.0,1,0,3,3.0,1.0,4.0,29.0,1953.0,750.0,82,599.0,40,92000.0
"172-70 Highland Ave,  Jamaica Estates NY, 11432",11432,2017-02-03,2017.0,4.0,0,0,1,1,1,8.0,1,0,4,4.0,,2.0,29.0,1958.0,700.0,89,755.0,106,131000.0
"65-65 Wetherole Street, Rego Park, NY 11374",11374,2017-02-03,2017.0,6.0,1,1,1,1,2,6.0,2,0,6,5.0,1.0,2.0,28.0,1955.0,1200.0,94,1137.0,120,408000.0
"18-05 215 St,  Bayside NY, 11360",11360,2017-02-06,2017.0,2.0,1,0,1,1,1,17.0,1,0,4,,1.0,2.0,25.0,1970.0,,67,1027.0,135,425000.0
"61-20 Grand Central Pky,  Forest Hills NY, 11375",11375,2017-02-07,2017.0,6.0,1,1,1,1,2,14.0,1,0,4,3.0,3.0,2.0,28.0,1964.0,,55,1370.0,0,360000.0
"54-40 Little Neck Pky,  Little Neck NY, 11362",11362,2017-02-07,2017.0,1.0,1,0,1,0,1,6.0,1,0,2,3.0,3.0,2.0,26.0,1961.0,,76,560.0,95,132500.0
"82-35 134th St,  Briarwood NY, 11435",11435,2017-02-08,2017.0,4.0,0,0,1,0,2,6.0,1,0,4,,3.0,4.0,28.0,1950.0,,83,725.0,125,216000.0
"65-70 Booth St,  Rego Park NY, 11374",11374,2017-02-13,2017.0,6.0,0,0,1,0,1,,1,0,5,5.0,3.0,5.0,28.0,1947.0,1000.0,94,680.0,0,232500.0
"103-02 42nd Ave,  Corona NY, 11368",11368,2017-02-13,2017.0,9.0,0,0,2,0,2,4.0,2,0,5,3.0,3.0,4.0,24.0,2010.0,820.0,96,,0,428000.0
"133-24 41st Ave,  Flushing NY, 11355",11355,2017-02-13,2017.0,2.0,0,0,2,0,2,,2,0,4,3.0,5.0,5.0,25.0,2006.0,,99,,0,635000.0
"33-04 93rd St,  Jackson Heights NY, 11372",11372,2017-02-15,2017.0,9.0,0,0,1,0,2,7.0,1,1,4,4.0,4.0,4.0,30.0,1958.0,,96,659.0,0,310000.0
"1 Bay Clu Dr, Bayside NY, 11360",11360,,,2.0,0,0,2,1,2,,2,0,6,3.0,3.0,4.0,25.0,1983.0,1250.0,82,,77,
"1 Station Sq, Forest Hills NY, 11375",11375,,,6.0,1,1,1,0,1,3.0,1,0,2,,1.0,5.0,28.0,1930.0,450.0,99,862.0,0,
"10 Station Sq,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,0,5.0,1,0,2,,5.0,2.0,28.0,1912.0,,99,738.0,0,
"10-01 162nd St,  Beechhurst NY, 11357",11357,,,2.0,1,0,1,0,3,,1,0,5,3.0,3.0,5.0,25.0,1953.0,,49,1435.0,60,
"100-10 67th Rd,  Forest Hills NY, 11375",11375,,,6.0,0,0,2,0,4,6.0,1,0,7,5.0,3.0,2.0,28.0,1941.0,1524.0,94,,0,
"100-25 Queens Blvd,  Forest Hills NY, 11375",11375,,,6.0,0,0,2,0,1,,1,0,3,,1.0,5.0,26.0,1957.0,,95,,0,
"10-11 162nd St,  Beechhurst NY, 11357",11357,,,2.0,0,0,1,0,3,9.0,1,0,5,3.0,3.0,5.0,25.0,1953.0,,58,1415.0,60,
"102-14 Lewis Ave,  Corona NY, 11368",11368,,,9.0,0,0,2,0,1,,1,0,3,4.0,3.0,4.0,24.0,2004.0,550.0,90,,0,
"102-21 63 Rd,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,1,,1,0,3,3.0,3.0,4.0,28.0,1955.0,,99,804.0,0,
"102-30 66 Rd,  Forest Hills NY, 11375",11375,,,6.0,0,1,1,0,3,30.0,3,0,6,,3.0,5.0,28.0,1960.0,1650.0,92,1750.0,145,
"102-30 66 Rd,  Forest Hills NY, 11375",11375,,,6.0,1,1,1,1,2,30.0,1,0,4,,3.0,5.0,27.0,1965.0,,92,1141.0,0,
"102-30 Queens Blvd,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,2,,1,0,6,5.0,3.0,4.0,28.0,1960.0,1300.0,96,1000.0,0,
"10-24 166 St,  Beechhurst NY, 11357",11357,,,2.0,1,1,1,0,1,9.0,1,0,3,3.0,3.0,5.0,25.0,1953.0,850.0,58,976.0,60,
"103-25 68 Ave,  Forest Hills NY, 11375",11375,,,6.0,1,1,1,1,3,,2,0,6,5.0,1.0,4.0,28.0,1953.0,1350.0,94,1311.0,140,
"103-25 68 Ave,  Forest Hills NY, 11375",11375,,,6.0,1,1,1,0,3,,2,0,6,5.0,3.0,4.0,28.0,1955.0,1350.0,94,1477.0,0,
"103-25 68th Ave,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,2,,1,0,5,3.0,1.0,4.0,28.0,1953.0,,94,1072.0,0,
"103-25 68th Ave,  Forest Hills NY, 11375",11375,,,6.0,1,1,1,0,3,7.0,2,0,6,5.0,1.0,4.0,28.0,1955.0,,94,1477.0,0,
"103-26 68th Ave,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,1,1.0,1,0,0,3.0,1.0,2.0,28.0,1950.0,850.0,94,683.0,0,
"10-34 166 St,  Whitestone NY, 11357",11357,,,2.0,1,0,1,0,1,,1,0,3,4.0,3.0,4.0,25.0,,,58,909.0,0,
"104-31 39th Ave,  Corona NY, 11368",11368,,,9.0,0,0,2,0,2,,1,0,5,4.0,3.0,4.0,24.0,2006.0,,97,214.0,0,
"104-48 37 Dr, Corona NY, 11368",11368,,,9.0,1,1,2,1,3,,2,0,6,3.0,3.0,2.0,24.0,2009.0,847.0,97,,0,
"104-59 38th Ave,  Corona NY, 11368",11368,,,9.0,0,1,2,0,1,,1,1,4,3.0,3.0,5.0,24.0,2009.0,592.0,96,,0,
"104-61 38th Ave,  Corona NY, 11368",11368,,,9.0,0,0,2,0,2,4.0,2,0,6,5.0,3.0,2.0,24.0,2010.0,860.0,96,,0,
"105-05 Otis Ave,  Corona NY, 11368",11368,,,9.0,0,0,2,0,1,,1,0,3,,3.0,4.0,25.0,2000.0,620.0,90,,0,
"105-24 64 Rd,  Forest Hills NY, 11375",11375,,,6.0,1,0,1,0,1,7.0,1,0,1,3.0,1.0,4.0,28.0,1952.0,500.0,90,494.0,0,
"105-24 67 Ave., Forest Hills, NY 11375",11375,,,6.0,0,0,1,0,4,,2,0,8,3.0,,2.0,28.0,1950.0,,90,1524.0,0,
"106-15 Queens Blvd,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,1,1,6.0,1,0,3,,1.0,4.0,28.0,1939.0,100.0,98,909.0,165,
"108-05 Astoria Blvd,  E. Elmhurst NY, 11369",11369,,,9.0,0,0,1,0,1,6.0,1,0,3,4.0,1.0,4.0,30.0,1996.0,,83,606.0,0,
"108-05 Astoria Blvd, E. Elmhurst NY, 11369",11369,,,9.0,0,0,1,0,1,6.0,1,0,3,4.0,1.0,2.0,30.0,1950.0,,83,700.0,0,
"108-15 37th Dr.,  Corona NY, 11368",11368,,,9.0,0,0,2,0,3,4.0,2,0,7,5.0,3.0,4.0,24.0,2011.0,,95,,0,
"109-14 Ascan Ave,  Forest Hills NY, 11375",11375,,,6.0,1,1,1,0,1,6.0,1,0,3,1.0,1.0,4.0,28.0,1939.0,850.0,98,854.0,0,
"109-18 Lefferts Blvd,  S. Ozone Park NY, 11420",11420,,,8.0,0,0,2,0,1,,1,0,4,3.0,3.0,4.0,28.0,1927.0,,86,,0,
"11-01 162nd St,  Beechhurst NY, 11357",11357,,,2.0,1,0,1,0,1,9.0,1,0,3,3.0,1.0,2.0,25.0,1958.0,,63,962.0,60,
"110-11 Queens Blvd,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,1,2,33.0,2,0,5,5.0,1.0,4.0,26.0,1965.0,1300.0,99,1833.0,185,
"110-11 Queens Blvd,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,1,2,33.0,2,0,5,,1.0,4.0,28.0,1965.0,,99,1493.0,185,
"110-11 Queens Blvd,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,1,1,33.0,1,0,4,5.0,1.0,4.0,28.0,1964.0,,99,1001.0,185,
"110-11 Queens Blvd,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,1,2,33.0,1,0,4,5.0,1.0,2.0,28.0,1965.0,,99,1240.0,185,
"110-11 Queens Blvd,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,2,33.0,2,0,5,5.0,3.0,4.0,28.0,1965.0,,99,1547.0,185,
"110-11 Queens Blvd, Forest Hills NY, 11375",11375,,,6.0,0,0,1,1,2,33.0,2,0,5,,1.0,4.0,28.0,1965.0,,99,1949.0,185,
"110-11 Queens Blvd., Forest Hills, NY 11375",11375,,,6.0,0,0,1,0,2,,2,0,5,5.0,3.0,5.0,24.0,1965.0,1300.0,99,1832.0,0,
"110-11 Queens Blvd., Forest Hills, NY 11375",11375,,,6.0,0,0,1,1,2,33.0,1,0,4,5.0,1.0,4.0,28.0,1965.0,,99,1240.0,185,
"110-20 71 Rd,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,1,10.0,1,0,3,5.0,1.0,4.0,28.0,1956.0,750.0,97,625.0,150,
"110-20 71 Rd,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,1,,1,0,3,3.0,1.0,5.0,28.0,1959.0,,97,620.0,0,
"110-20 71st Ave,  Forest Hills NY, 11375",11375,,,6.0,1,1,1,0,1,7.0,1,0,3,5.0,1.0,5.0,28.0,1955.0,,97,629.0,150,
"110-21 73rd. Rd,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,1,,1,0,4,3.0,3.0,4.0,28.0,1932.0,,98,737.0,0,
"110-34 73rd Rd,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,1,6.0,1,0,3,4.0,1.0,5.0,28.0,1942.0,,98,700.0,0,
"110-44 65th Ave,  Forest Hills NY, 11375",11375,,,6.0,1,1,2,0,5,2.0,2,0,5,3.0,3.0,5.0,28.0,1951.0,980.0,77,,0,
"110-45 71st Road,  Forest Hills NY, 11375",11375,,,6.0,1,1,1,1,1,6.0,1,0,3,3.0,1.0,2.0,28.0,1952.0,750.0,96,651.0,0,
"110-45 Queens Blvd,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,1,3,9.0,2,0,6,3.0,1.0,4.0,28.0,1951.0,,98,2128.0,0,
"110-55 72 Rd,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,0,6.0,1,0,2,3.0,3.0,4.0,28.0,1940.0,,98,570.0,0,
"110-56 65th Ave,  Forest Hills NY, 11375",11375,,,6.0,0,0,2,0,3,3.0,2,1,9,5.0,3.0,4.0,28.0,1951.0,,94,,0,
"111-15 75 Ave,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,1,,1,0,4,3.0,3.0,2.0,28.0,1937.0,850.0,98,781.0,0,
"111-20 73 Ave,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,1,,1,0,3,3.0,3.0,5.0,28.0,1965.0,,97,656.0,0,
"111-20 73rd Ave,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,2,,1,0,5,5.0,3.0,4.0,28.0,2007.0,1100.0,97,,0,
"111-23 66th Ave, Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,1,,1,0,4,3.0,3.0,2.0,28.0,1949.0,,69,,0,
"111-27 66 Ave,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,1,,1,0,3,,3.0,2.0,24.0,1950.0,,69,,0,
"111-45 76th Dr,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,2,,1,0,4,5.0,3.0,5.0,28.0,1936.0,,94,795.0,255,
"112-01 Queens Blvd,  Forest Hills NY, 11375",11375,,,6.0,1,1,2,0,1,5.0,1,1,5,3.0,3.0,4.0,28.0,1992.0,904.0,94,,0,
"112-01 Queens Blvd,  Forest Hills NY, 11375",11375,,,6.0,1,1,2,1,1,27.0,1,1,4,5.0,3.0,2.0,28.0,1992.0,914.0,94,,0,
"112-15 72 Rd,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,0,,1,0,4,,,,,,,92,,0,
"112-19 39 Ave, Corona NY, 11368",11368,,,9.0,0,0,2,0,2,,1,1,5,3.0,3.0,5.0,24.0,2008.0,1742.0,84,,0,
"112-19 39 Ave, Corona NY, 11368",11368,,,9.0,0,0,2,0,2,4.0,1,1,5,3.0,3.0,4.0,24.0,2008.0,751.0,84,,0,
"112-20 72 Drive,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,3,6.0,2,0,5,3.0,,4.0,28.0,1956.0,,97,1329.0,142,
"112-20 72nd Dr,  Forest Hills NY, 11375",11375,,,6.0,1,1,1,0,2,6.0,1,0,5,4.0,1.0,4.0,28.0,1956.0,,97,1110.0,144,
"112-20 72nd Drive Dr, Forest Hills NY, 11375",11375,,,6.0,1,1,1,0,1,6.0,1,0,3,3.0,1.0,4.0,28.0,1953.0,,97,800.0,0,
"112-30 Northern Blvd,  Corona NY, 11368",11368,,,9.0,0,0,1,0,3,6.0,1,0,5,3.0,1.0,4.0,24.0,1953.0,,82,1050.0,0,
"112-31 38 Ave,  Corona NY, 11368",11368,,,9.0,0,0,2,0,1,,1,0,3,3.0,3.0,4.0,24.0,2006.0,,84,,0,
"112-50 78 Ave,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,1,6.0,1,0,3,,1.0,4.0,28.0,1950.0,,93,748.0,0,
"112-50 78th Ave,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,0,3,,2,0,6,5.0,1.0,4.0,28.0,1941.0,,93,1636.0,0,
"113-14 72 Rd,  Forest Hills NY, 11375",11375,,,6.0,1,1,1,1,2,6.0,1,0,4,4.0,3.0,5.0,28.0,1940.0,,94,933.0,0,
"113-14 72nd Rd, Forest Hills NY, 11375",11375,,,6.0,1,1,1,1,2,,1,0,4,5.0,1.0,4.0,28.0,1941.0,,94,1285.0,0,
"114-20 Queens Blvd, Forest Hills NY., 11375",11375,,,6.0,0,0,1,0,2,6.0,1,0,4,3.0,1.0,2.0,28.0,1941.0,928.0,94,1042.0,0,
"115-25 84 Ave,  Kew Gardens NY, 11415",11415,,,8.0,1,0,1,0,2,6.0,1,0,4,4.0,1.0,4.0,11.0,1928.0,1000.0,87,797.0,0,
"117-01 Park Lane South,  Kew Gardens NY, 11415",11415,,,8.0,0,0,1,0,2,6.0,2,0,5,5.0,3.0,4.0,28.0,1936.0,1300.0,84,1177.0,0,
"117-14 Union Tpke Tpke,  Kew Gardens NY, 11415",11415,,,8.0,0,0,1,0,2,6.0,1,0,5,5.0,3.0,5.0,28.0,1923.0,,90,1000.0,0,
"118-11 84 Ave,  Kew Gardens NY, 11415",11415,,,8.0,1,1,1,0,2,6.0,1,0,4,4.0,3.0,2.0,27.0,1940.0,950.0,91,829.0,140,
"118-11 84th Ave,  Kew Gardens NY, 11415",11415,,,8.0,1,1,1,0,1,,1,0,4,4.0,3.0,4.0,28.0,1940.0,,91,820.0,0,
"118-17 Union Tpke, Forest Hills NY, 11375",11375,,,6.0,0,0,1,1,0,21.0,1,0,2,3.0,1.0,2.0,28.0,1973.0,550.0,92,,150,
"118-17 Union Turnpike,  Forest Hills NY, 11375",11375,,,6.0,0,0,1,1,3,21.0,3,0,6,,3.0,,28.0,1965.0,1700.0,92,1820.0,200,
"118-18 Union Tpke,  Kew Gardens NY, 11415",11415,,,8.0,0,0,1,1,1,,1,0,3,3.0,3.0,5.0,28.0,1965.0,750.0,93,973.0,150,
"118-18 Union Tpke,  Kew Gardens NY, 11415",11415,,,8.0,0,0,1,0,1,20.0,1,0,3,3.0,,2.0,28.0,1974.0,800.0,93,1042.0,127,
"118-18 Union Tpke,  Kew Gardens NY, 11415",11415,,,8.0,0,0,1,1,2,21.0,2,0,5,5.0,,4.0,28.0,1974.0,1050.0,93,1483.0,115,
"118-66 Metropolitan Ave,  Kew Gardens NY, 11415",11415,,,8.0,1,1,1,0,1,,1,0,4,5.0,3.0,4.0,27.0,1950.0,800.0,91,750.0,0,
"118-82 Metropolitan Ave,  Kew Gardens NY, 11415",11415,,,8.0,1,1,2,1,2,7.0,2,0,4,3.0,3.0,2.0,28.0,2002.0,763.0,92,,0,
"118-82 Metropolitan Ave,  Kew Gardens NY, 11415",11415,,,8.0,1,1,2,0,2,7.0,2,0,7,3.0,3.0,2.0,27.0,2002.0,763.0,92,383.0,0,
"119-40 Metropolitan Ave, Kew Gardens NY, 11415",11415,,,8.0,0,0,2,0,2,,2,0,4,3.0,3.0,5.0,28.0,1989.0,1005.0,92,,0,
"120-08 Riviera Ct,  College Point NY, 11356",11356,,,2.0,0,0,2,0,3,3.0,3,0,7,5.0,3.0,5.0,25.0,1989.0,,48,,0,
"122-15 25th Rd,  College Point NY, 11356",11356,,,2.0,0,0,2,0,1,,1,0,3,,3.0,1.0,25.0,1983.0,,80,180.0,0,
"12-26 Diane Pl,  Bayside NY, 11360",11360,,,2.0,1,1,2,0,2,,2,1,5,3.0,3.0,4.0,25.0,1985.0,1800.0,59,755.0,0,
"123-25 82nd Ave,  Kew Gardens NY, 11415",11415,,,8.0,0,0,1,0,1,6.0,1,0,3,3.0,3.0,4.0,28.0,1950.0,,92,880.0,0,
"124-16 84th Rd,  Kew Gardens NY, 11415",11415,,,8.0,1,1,1,0,3,6.0,2,0,6,5.0,5.0,4.0,28.0,1937.0,,90,1249.0,0,
"124-16 84th Road,  Kew Gardens NY, 11415",11415,,,8.0,1,1,1,0,0,,1,0,1,3.0,3.0,4.0,28.0,1938.0,600.0,90,565.0,0,
"125-10 Queens Blvd,  Kew Gardens NY, 11415",11415,,,8.0,0,0,1,1,1,27.0,1,0,3,3.0,1.0,2.0,28.0,1960.0,,91,891.0,220,
"125-16 83rd Dr,  Kew Gardens NY, 11415",11415,,,8.0,1,1,1,0,0,6.0,1,0,2,3.0,3.0,2.0,28.0,1960.0,,92,427.0,0,
"131-03 40th Rd,  Flushing NY, 11354",11354,,,2.0,1,1,2,0,1,14.0,1,0,2,3.0,3.0,2.0,25.0,2017.0,712.0,92,,0,
"131-11 Kew Gardens Rd,  Kew Gardens NY, 11415",11415,,,8.0,0,0,1,0,2,6.0,1,1,6,4.0,,2.0,28.0,1960.0,,92,894.0,90,
"13-17 Michael Ct., Bayside, NY 11360",11360,,,2.0,1,1,2,1,3,3.0,2,1,6,,3.0,4.0,25.0,1985.0,2200.0,51,,0,
"132-59 41 Rd,  Flushing NY, 11355",11355,,,2.0,0,0,2,0,0,7.0,2,0,4,3.0,3.0,4.0,25.0,2003.0,980.0,97,,0,
"133-36 41 Rd,  Flushing NY, 11355",11355,,,2.0,0,0,2,0,1,,1,0,3,3.0,3.0,5.0,25.0,1987.0,621.0,97,,0,
"133-36 41st Rd,  Flushing NY, 11355",11355,,,2.0,1,1,2,0,2,,2,0,6,,3.0,4.0,25.0,1987.0,,97,,0,
"133-47 Sanford Ave,  Flushing NY, 11355",11355,,,2.0,0,0,2,0,2,13.0,2,0,5,3.0,3.0,5.0,25.0,2001.0,1027.0,97,,0,
"134-39 Blossom Ave,  Flushing NY, 11355",11355,,,2.0,0,0,1,0,1,,1,0,3,3.0,3.0,2.0,25.0,1950.0,800.0,96,,0,
"134-40 Cherry Ave,  Flushing NY, 11355",11355,,,2.0,0,0,2,0,1,,1,0,4,3.0,3.0,5.0,25.0,2015.0,,96,,0,
"134-46 Maple Ave,  Flushing NY, 11355",11355,,,2.0,0,0,2,0,1,,1,0,3,3.0,3.0,5.0,25.0,1987.0,650.0,96,,0,
"134-54 Maple Ave,  Flushing NY, 11354",11354,,,2.0,0,0,1,0,1,1.0,1,0,4,5.0,1.0,4.0,25.0,1962.0,735.0,96,480.0,0,
"134-54 Maple Ave,  Flushing NY, 11354",11354,,,2.0,0,0,1,0,1,,1,0,4,5.0,1.0,4.0,25.0,1962.0,750.0,96,577.0,0,
"134-54 Maple Ave,  Flushing NY, 11354",11354,,,2.0,0,0,1,0,1,,1,0,4,5.0,3.0,5.0,25.0,1962.0,,96,415.0,0,
"135-17 Northern Blvd,  Flushing NY, 11354",11354,,,2.0,0,0,2,0,0,4.0,1,0,2,5.0,3.0,4.0,25.0,2015.0,495.0,99,,0,
"135-17 Northern Blvd,  Flushing NY, 11354",11354,,,2.0,0,0,2,0,1,3.0,1,0,2,5.0,3.0,4.0,25.0,2015.0,680.0,99,,0,
"135-17 Northern Blvd,  Flushing NY, 11354",11354,,,2.0,0,0,2,0,0,5.0,1,0,2,5.0,3.0,4.0,25.0,2015.0,680.0,99,,0,
"135-17 Northern Blvd,  Flushing NY, 11354",11354,,,2.0,0,0,2,0,1,,1,0,2,5.0,3.0,4.0,25.0,2015.0,680.0,99,,0,
"135-17 Northern Blvd,  Flushing NY, 11354",11354,,,2.0,0,0,2,0,0,5.0,1,0,2,5.0,3.0,4.0,25.0,2015.0,680.0,99,,0,
"136-05 Sanford Ave,  Flushing NY, 11355",11355,,,2.0,0,0,1,0,1,,1,0,3,4.0,3.0,5.0,25.0,1950.0,,97,552.0,0,
"136-24 Maple Ave,  Flushing NY, 11355",11355,,,2.0,0,0,2,1,2,8.0,2,0,6,,3.0,4.0,25.0,1986.0,,98,,0,
"136-24 Maple, Flushing NY 11355",11355,,,2.0,0,0,2,0,2,,2,0,5,3.0,3.0,4.0,25.0,1986.0,,98,,0,
"136-39 41 Ave,  Flushing NY, 11355",11355,,,2.0,0,0,1,0,1,6.0,1,0,3,3.0,3.0,5.0,25.0,1928.0,600.0,99,615.0,0,
"136-41 68th Drive,  Kew Garden Hills NY, 11367",11367,,,3.0,1,1,1,0,2,2.0,1,0,4,5.0,,2.0,25.0,1950.0,,63,988.0,0,
"137-07 68th Dr,  Kew Garden Hills NY, 11367",11367,,,3.0,1,1,1,0,2,,1,0,7,,1.0,4.0,25.0,1940.0,,67,980.0,0,
"137-11 32nd Ave,  Flushing NY, 11354",11354,,,2.0,0,0,2,0,2,,2,0,5,,3.0,5.0,25.0,2001.0,728.0,93,,0,
"138-10 Franklin Ave,  Flushing NY, 11355",11355,,,2.0,0,0,1,0,1,,1,0,3,3.0,3.0,4.0,25.0,,,94,632.0,0,
"138-10 Franklin Ave., Flushing, NY 11355",11355,,,2.0,0,0,1,0,1,,1,0,3,3.0,3.0,4.0,25.0,,,94,632.0,0,
"138-15 Franklin Ave,  Flushing NY, 11355",11355,,,2.0,0,0,1,0,1,,1,0,3,3.0,3.0,4.0,25.0,1963.0,,98,463.0,0,
"138-25 31 Dr, Flushing, NY 11354",11354,,,2.0,0,0,1,0,2,,1,1,5,5.0,3.0,4.0,25.0,1960.0,,7,901.0,0,
"138-35 Elder Ave, Flushing NY, 11355",11355,,,2.0,0,0,2,0,2,20.0,2,0,4,3.0,3.0,2.0,25.0,1986.0,871.0,93,,0,
"138-37 68th Dr,  Kew Garden Hills NY, 11367",11367,,,3.0,0,0,1,0,2,2.0,1,0,5,3.0,,4.0,25.0,1950.0,1100.0,77,1013.0,0,
"138-70 Elder Ave,  Flushing NY, 11355",11355,,,2.0,0,0,1,0,3,7.0,2,0,6,5.0,3.0,5.0,25.0,1966.0,1400.0,92,1131.0,175,
"138-70 Elder Ave,  Flushing NY, 11355",11355,,,2.0,0,0,1,0,3,7.0,2,0,6,5.0,3.0,5.0,25.0,1966.0,1400.0,93,1131.0,175,
"138-70 Elder Ave, flushing NY, 11355",11355,,,2.0,0,0,1,0,2,2.0,1,0,4,,1.0,4.0,25.0,1964.0,,93,792.0,0,
"139-05 85 Dr,  Briarwood NY, 11435",11435,,,4.0,0,0,1,1,1,6.0,1,0,3,3.0,3.0,4.0,27.0,1952.0,,90,588.0,100,
"139-15 83rd Ave,  Briarwood NY, 11435",11435,,,4.0,1,1,1,1,1,7.0,1,0,3,3.0,1.0,2.0,28.0,1958.0,800.0,85,718.0,0,
"139-15 83rd Ave,  Briarwood NY, 11435",11435,,,4.0,1,1,1,0,2,7.0,1,0,4,3.0,1.0,2.0,28.0,1958.0,975.0,85,786.0,0,
"139-15 83rd Ave,  Briarwood NY, 11435",11435,,,4.0,1,1,1,0,2,7.0,1,0,4,3.0,1.0,2.0,28.0,1958.0,975.0,85,837.0,0,
"139-15 83rd Ave, Briarwood NY, 11435",11435,,,4.0,1,1,1,1,1,7.0,1,0,3,3.0,1.0,2.0,28.0,1958.0,800.0,85,667.0,0,
"139-21 85th Drive,  Briarwood NY, 11435",11435,,,4.0,1,1,1,0,1,6.0,1,0,4,3.0,1.0,2.0,28.0,1950.0,800.0,90,739.0,154,
"139-87 35 Ave,  Flushing NY, 11354",11354,,,2.0,0,0,2,0,2,,2,0,5,3.0,3.0,5.0,25.0,1999.0,896.0,97,,0,
"140-08 28 Rd,  Flushing NY, 11354",11354,,,2.0,0,0,1,0,2,,1,0,4,3.0,3.0,2.0,25.0,1955.0,950.0,85,645.0,0,
"140-21 32nd Ave,  Flushing NY, 11354",11354,,,2.0,0,0,2,0,2,,2,0,5,3.0,3.0,5.0,25.0,,,95,396.0,0,
"140-21 Burden Cres,  Briarwood NY, 11435",11435,,,4.0,0,0,1,0,1,6.0,1,0,3,5.0,1.0,2.0,28.0,1952.0,,88,647.0,0,
"140-31 Cherry Ave,  Flushing NY, 11355",11355,,,2.0,0,0,2,0,2,,2,0,5,5.0,3.0,2.0,25.0,2006.0,,94,,0,
"140-33 34 Ave,  Flushing NY, 11354",11354,,,2.0,0,0,1,0,2,,1,0,4,3.0,3.0,4.0,25.0,,,95,928.0,0,
"141-03 79th Avenue Ave,  Kew Garden Hills NY, 11367",11367,,,3.0,0,0,1,0,2,,1,0,4,3.0,,2.0,28.0,1940.0,900.0,90,,837,
"141-10 28 Ave,  Flushing NY, 11354",11354,,,2.0,0,0,1,0,3,,1,0,5,3.0,3.0,2.0,25.0,1955.0,1000.0,86,770.0,0,
"141-16 28th Ave,  Flushing NY, 11354",11354,,,2.0,1,0,1,0,2,,1,0,5,5.0,1.0,2.0,25.0,1951.0,,86,698.0,0,
"141-18 Cherry Ave,  Flushing NY, 11355",11355,,,2.0,0,0,1,0,2,,3,0,4,3.0,3.0,4.0,25.0,2011.0,2143.0,92,438.0,0,
"141-25 Northern Blvd,  Flushing NY, 11354",11354,,,2.0,0,0,1,0,2,,2,0,6,3.0,3.0,4.0,25.0,1937.0,1400.0,97,950.0,0,
"141-25 Northern Blvd, Flushing NY, 11354",11354,,,2.0,0,0,1,0,1,,1,0,4,3.0,,4.0,25.0,1937.0,800.0,97,571.0,0,
"141-35 78th Rd,  Kew Garden Hills NY, 11367",11367,,,3.0,0,0,1,0,1,3.0,1,0,3,3.0,3.0,4.0,25.0,1940.0,750.0,90,604.0,0,
"141-60 84 Rd,  Kew Gardens NY, 11415",11415,,,8.0,0,0,1,0,2,7.0,2,0,5,4.0,3.0,5.0,28.0,1955.0,,82,,0,
"141-60 84th Rd,  Briarwood NY, 11435",11435,,,4.0,0,0,1,0,1,,1,0,3,3.0,3.0,2.0,28.0,1955.0,,82,560.0,0,
"142-05 Roosevelt Ave, Flushing NY, 11354",11354,,,2.0,0,0,1,0,3,,2,0,8,5.0,,2.0,25.0,1965.0,,99,1149.0,150,
"142-05 Roosevelt,  Flushing NY, 11354",11354,,,2.0,0,0,1,0,3,,2,0,7,5.0,3.0,4.0,25.0,1965.0,,99,,0,
