full_address_or_zip_code,zipcode,date_of_sale,sale_year,zone,cats_allowed,dogs_allowed,coop_condo,garage_exists,num_bedrooms,num_floors_in_building,num_full_bathrooms,num_half_bathrooms,num_total_rooms,dining_room_type,fuel_type,kitchen_type,community_district_num,approx_year_built,sq_footage,walk_score,maintenance_cost,parking_charges,sale_price
"42-30 Douglaston Pkwy,  Douglaston NY, 11363",11363,2016-03-10,2016.0,1.0,0,0,1,0,2,6.0,1,0,4,,3.0,5.0,26.0,1960.0,900.0,68,855.0,100,380000.0
"151-40 88th Street, Howard Beach, NY 11414",11414,2016-03-11,2016.0,8.0,1,0,1,0,2,6.0,2,0,5,5.0,3.0,2.0,27.0,1960.0,,77,850.0,0,255000.0
"90-60 Union Tpke,  Glendale NY, 11385",11385,2016-03-14,2016.0,6.0,1,1,1,0,1,20.0,1,0,3,3.0,,4.0,24.0,1965.0,750.0,73,685.0,70,175000.0
"26-26 141 St,  Whitestone NY, 11357",11357,2016-03-14,2016.0,2.0,0,0,1,0,1,,1,0,3,5.0,3.0,2.0,25.0,1952.0,,80,500.0,0,138000.0
"42-37 27th St,  Long Island City NY, 11101",11101,2016-03-14,2016.0,5.0,1,1,2,0,1,8.0,1,0,3,,3.0,4.0,30.0,2015.0,,96,,0,570000.0
"42-37 27th Street, Long Island City, NY 11101",11101,2016-03-14,2016.0,5.0,1,1,2,0,1,8.0,1,0,3,,3.0,4.0,30.0,2015.0,530.0,96,,0,605000.0
"7808 Cloverdale Blvd,  Bayside NY, 11364",11364,2016-03-21,2016.0,1.0,1,1,1,0,1,2.0,1,0,4,3.0,3.0,2.0,26.0,1955.0,,55,669.0,0,175500.0
"209-25 18th Ave,  Bayside NY, 11360",11360,2016-03-22,2016.0,2.0,0,0,1,0,2,6.0,1,0,6,5.0,3.0,4.0,25.0,1960.0,950.0,70,845.0,20,222500.0
"18-15 215 St,  Bayside NY, 11360",11360,2016-03-22,2016.0,2.0,0,0,1,1,2,17.0,2,0,5,5.0,1.0,4.0,25.0,1969.0,,76,1827.0,135,600000.0
"209-39 23 Ave,  Bayside NY, 11360",11360,2016-03-23,2016.0,2.0,0,0,1,0,2,6.0,1,0,5,3.0,3.0,4.0,25.0,1960.0,,80,1201.0,26,260000.0
"35-31 85th St,  Jackson Heights NY, 11372",11372,2016-03-23,2016.0,9.0,1,1,1,0,1,9.0,1,0,3,4.0,3.0,2.0,30.0,1952.0,,98,543.0,95,220000.0
"151-31 88 Street, Howard Beach, NY 11414",11414,2016-03-25,2016.0,8.0,1,0,1,0,2,,1,0,5,4.0,1.0,2.0,27.0,1930.0,,77,857.0,22,154000.0
"60-23 Marathon Pky,  Little Neck NY, 11362",11362,2016-03-25,2016.0,1.0,0,0,1,0,1,2.0,1,0,3,,1.0,2.0,26.0,1955.0,,82,664.0,0,155000.0
"98-50 67th Avenue,  Rego Park NY, 11374",11374,2016-03-25,2016.0,6.0,1,1,1,0,2,6.0,1,0,5,4.0,3.0,2.0,28.0,1955.0,984.0,93,739.0,0,327000.0
"133-12 Laurelton Pky,  Rosedale NY, 11422",11422,2016-03-28,2016.0,7.0,0,0,1,0,1,2.0,1,0,4,3.0,3.0,4.0,29.0,1950.0,,82,576.0,0,106000.0
"99-25 60th Ave,  Corona NY, 11368",11368,2016-03-28,2016.0,9.0,0,0,1,0,2,6.0,2,0,6,3.0,1.0,2.0,24.0,1961.0,1200.0,88,813.0,0,260000.0
"71-12 Little Neck Pky,  Glen Oaks NY, 11004",11004,2016-03-30,2016.0,7.0,1,1,1,0,1,2.0,1,0,4,,1.0,5.0,26.0,1950.0,590.0,58,684.0,0,135000.0
"131-04 Laurelton Parkway, Laurelton, NY 11413",11413,2016-03-30,2016.0,7.0,0,0,1,0,2,2.0,1,0,4,,1.0,2.0,29.0,1945.0,702.0,73,720.0,0,124000.0
"99-45 67 Rd,  Forest Hills NY, 11375",11375,2016-03-30,2016.0,6.0,0,0,1,0,2,6.0,1,0,4,5.0,3.0,5.0,28.0,1941.0,1000.0,93,910.0,0,340000.0
"142-20 26 Ave,  Flushing NY, 11354",11354,2016-03-31,2016.0,2.0,0,0,1,0,2,6.0,1,0,4,3.0,3.0,4.0,25.0,1955.0,,85,814.0,0,233000.0
"59-21 Calloway, St. Rego Park, NY 11374",11374,2016-04-01,2016.0,6.0,0,0,1,0,1,,1,0,4,5.0,3.0,2.0,24.0,1968.0,,88,392.0,0,127500.0
"42-42 Union St,  Flushing NY, 11355",11355,2016-04-01,2016.0,2.0,0,0,2,0,1,9.0,1,0,3,3.0,3.0,5.0,25.0,1985.0,689.0,93,,0,440000.0
"144-77 Roosevelt Ave,  Flushing NY, 11354",11354,2016-04-01,2016.0,2.0,0,0,2,0,2,10.0,1,1,5,,3.0,2.0,25.0,1985.0,,94,495.0,0,610000.0
"147-10 84th. Rd,  Briarwood NY, 11435",11435,2016-04-01,2016.0,4.0,0,0,1,0,1,6.0,1,0,3,,1.0,2.0,28.0,1952.0,750.0,97,724.0,100,131000.0
"249-05 61st Ave,  Little Neck NY, 11362",11362,2016-04-04,2016.0,1.0,0,0,1,0,3,2.0,1,0,5,3.0,1.0,4.0,26.0,1950.0,,77,846.0,0,275000.0
"86-29 155th Ave,  Howard Beach NY, 11414",11414,2016-04-05,2016.0,8.0,1,0,1,0,1,6.0,1,0,3,5.0,1.0,2.0,27.0,1965.0,,73,733.0,70,96000.0
11364,11364,2016-04-06,2016.0,1.0,1,0,1,0,3,2.0,1,0,6,5.0,3.0,2.0,26.0,1950.0,,75,601.0,0,270000.0
"54-44 Little Neck Pky,  Little Neck NY, 11362",11362,2016-04-06,2016.0,1.0,1,0,1,0,3,1.0,2,0,5,5.0,3.0,4.0,26.0,1961.0,,76,1118.0,95,390000.0
"102-17 64th Rd,  Forest Hills NY, 11375",11375,2016-04-06,2016.0,6.0,0,0,1,0,1,6.0,1,0,3,3.0,1.0,4.0,28.0,1949.0,,90,750.0,125,235000.0
"99-32 66 Rd,  Rego Park NY, 11374",11374,2016-04-06,2016.0,6.0,1,1,1,0,3,12.0,1,0,5,3.0,3.0,2.0,28.0,1960.0,,90,1124.0,170,436000.0
"84-70 129th Street,  Kew Gardens NY, 11415",11415,2016-04-07,2016.0,8.0,0,0,1,0,1,6.0,1,0,4,3.0,3.0,5.0,28.0,1969.0,,90,575.0,0,145000.0
"67-69 Cloverdale Ln,  Oakland Gardens NY, 11364",11364,2016-04-08,2016.0,1.0,0,0,2,0,1,,2,0,6,5.0,3.0,4.0,26.0,1949.0,,48,,0,420000.0
"196-11 Dunton Ave,  Holliswood NY, 11423",11423,2016-04-11,2016.0,4.0,0,0,1,0,1,,1,0,3,3.0,3.0,4.0,29.0,1960.0,750.0,77,660.0,0,130000.0
"172-31 Highland Ave,  Jamaica Estates NY, 11432",11432,2016-04-11,2016.0,4.0,0,0,2,0,2,3.0,2,1,8,3.0,3.0,2.0,29.0,1989.0,1000.0,94,,0,420000.0
"70-25 Yellowstone Blvd,  Forest Hills NY, 11375",11375,2016-04-11,2016.0,6.0,0,0,1,0,1,23.0,1,0,3,5.0,1.0,4.0,28.0,1964.0,825.0,97,860.0,0,275000.0
"48-05 42nd St,  Sunnyside NY, 11104",11104,2016-04-11,2016.0,5.0,1,1,1,0,1,,1,0,3,,3.0,4.0,24.0,1950.0,,97,722.0,0,237000.0
"17-25 215th St,  Bayside NY, 11360",11360,2016-04-12,2016.0,2.0,1,1,1,0,3,,2,1,7,,3.0,2.0,25.0,1970.0,1800.0,76,2172.0,80,400000.0
"117-01 Park Lane South,  Kew Gardens NY, 11415",11415,2016-04-12,2016.0,8.0,1,1,1,0,1,6.0,1,0,3,4.0,3.0,4.0,28.0,1936.0,1000.0,84,869.0,0,235000.0
"42-37 27th St,  Long Island City NY, 11101",11101,2016-04-12,2016.0,5.0,1,1,2,0,0,8.0,1,0,3,,3.0,4.0,30.0,2015.0,532.0,96,,0,596000.0
"151-25 88th St,  Howard Beach NY, 11414",11414,2016-04-13,2016.0,8.0,1,0,1,0,1,6.0,1,0,3,3.0,3.0,2.0,27.0,1955.0,,77,581.0,21,155000.0
"205-15 36th Ave,  Bayside NY, 11361",11361,2016-04-13,2016.0,1.0,1,0,1,0,1,2.0,1,0,4,,1.0,2.0,26.0,1950.0,586.0,82,656.0,0,145000.0
"234-26 131st Avenue, Rosedale, NY 11422",11422,2016-04-14,2016.0,7.0,0,0,1,0,1,2.0,1,0,4,3.0,3.0,4.0,29.0,1950.0,,72,573.0,0,113000.0
"82-36 229 St,  Queens Village NY, 11427",11427,2016-04-15,2016.0,7.0,0,0,1,0,2,2.0,1,0,4,3.0,3.0,5.0,26.0,1955.0,,69,641.0,0,162000.0
"86-32 155 Ave,  Howard Beach NY, 11414",11414,2016-04-18,2016.0,8.0,1,1,1,0,2,2.0,1,0,5,5.0,3.0,2.0,27.0,1964.0,,73,732.0,0,145000.0
"54-44 Little Neck Pky,  Little Neck NY, 11362",11362,2016-04-18,2016.0,1.0,1,0,1,0,1,6.0,1,0,3,3.0,3.0,2.0,26.0,1961.0,,76,642.0,115,160000.0
"30-81 54th St,  Woodside NY, 11377",11377,2016-04-19,2016.0,9.0,0,0,1,0,0,,1,0,2,,1.0,4.0,30.0,1936.0,,85,452.0,0,175000.0
"150-69 70th Road, Kew Garden Hills, NY 11367",11367,2016-04-19,2016.0,3.0,1,1,1,0,1,2.0,1,0,3,3.0,1.0,2.0,25.0,1951.0,,87,638.0,0,180000.0
"67-91 136 Street,  Kew Garden Hills NY, 11367",11367,2016-04-20,2016.0,3.0,1,1,1,0,1,2.0,1,0,3,5.0,1.0,2.0,25.0,1950.0,,63,746.0,0,164000.0
"172-70 Highland Ave,  Jamaica Estates NY, 11432",11432,2016-04-20,2016.0,4.0,0,0,1,0,1,8.0,1,0,3,,3.0,4.0,29.0,1958.0,,89,760.0,80,110000.0
"63-16 Forest Ave,  Ridgewood NY, 11385",11385,2016-04-20,2016.0,6.0,0,0,2,1,2,3.0,2,0,4,3.0,3.0,4.0,24.0,2007.0,863.0,92,,0,476000.0
"89-40 151 Ave,  Howard Beach NY, 11414",11414,2016-04-21,2016.0,8.0,1,0,1,0,1,6.0,1,0,3,4.0,3.0,2.0,27.0,1965.0,,77,745.0,0,100000.0
"163-44 Willetts Point Blvd,  Whitestone NY, 11357",11357,2016-04-21,2016.0,2.0,1,0,1,0,2,2.0,2,0,4,5.0,1.0,2.0,25.0,1950.0,,81,913.0,0,217500.0
"99-05 43rd Ave,  Corona NY, 11368",11368,2016-04-21,2016.0,9.0,0,0,2,0,1,4.0,1,0,3,3.0,3.0,2.0,24.0,1991.0,,97,,0,235000.0
"18-15 215th St,  Bayside NY, 11360",11360,2016-04-22,2016.0,2.0,0,0,1,0,2,17.0,2,0,5,3.0,3.0,2.0,25.0,1970.0,,76,1342.0,135,492500.0
"132-73 Maple Ave,  Flushing NY, 11355",11355,2016-04-24,2016.0,2.0,0,0,2,0,2,4.0,2,0,6,3.0,3.0,4.0,25.0,2009.0,1029.0,97,,0,550000.0
"87-15 204th Street, Hollis, NY 11423",11423,2016-04-25,2016.0,4.0,0,0,1,0,2,6.0,1,0,4,5.0,1.0,4.0,16.0,1950.0,,76,720.0,0,120000.0
"147-27 38th Ave,  Flushing NY, 11354",11354,2016-04-25,2016.0,2.0,0,0,1,0,1,,1,0,3,4.0,3.0,4.0,25.0,1969.0,750.0,97,,0,210000.0
"71-11 Yellowstone Blvd,  Forest Hills NY, 11375",11375,2016-04-26,2016.0,6.0,0,0,1,1,1,7.0,1,0,3,3.0,1.0,4.0,28.0,1952.0,,94,815.0,100,197500.0
"94-30 59 Ave,  Elmhurst NY, 11373",11373,2016-04-26,2016.0,9.0,0,0,1,0,1,6.0,1,0,3,5.0,1.0,4.0,24.0,1959.0,,96,596.0,0,220000.0
"70-25 Yellowstone Blvd,  Forest Hills NY, 11375",11375,2016-04-26,2016.0,6.0,1,0,1,0,1,,1,0,3,3.0,3.0,5.0,28.0,1964.0,,97,,0,283500.0
"63-11 Queens Blvd,  Woodside NY, 11377",11377,2016-04-27,2016.0,9.0,1,1,1,1,1,5.0,1,0,2,3.0,1.0,2.0,24.0,1963.0,,91,458.0,245,173000.0
"83-20 98 St,  Woodhaven NY, 11421",11421,2016-04-28,2016.0,8.0,1,0,1,0,2,6.0,1,0,4,4.0,1.0,4.0,24.0,1954.0,850.0,78,597.0,0,169000.0
"82-40 Austin St,  Kew Gardens NY, 11415",11415,2016-04-28,2016.0,8.0,1,0,1,0,1,,1,0,3,3.0,1.0,2.0,28.0,1940.0,,90,322.0,0,143000.0
"32-22 92 St,  E. Elmhurst NY, 11369",11369,2016-04-28,2016.0,9.0,0,0,1,0,2,,1,0,4,3.0,1.0,4.0,30.0,1951.0,,94,849.0,0,170000.0
"89-35 155 Ave,  Howard Beach NY, 11414",11414,2016-05-02,2016.0,8.0,1,0,1,0,1,6.0,1,0,3,4.0,3.0,2.0,27.0,1965.0,,77,753.0,0,82000.0
"152-18 Union Tpke,  Flushing NY, 11367",11367,2016-05-02,2016.0,3.0,1,1,2,1,2,13.0,1,0,4,3.0,5.0,2.0,25.0,1973.0,778.0,90,,0,383000.0
"73-03 Bell Blvd., Bayside, NY 11364",11364,2016-05-03,2016.0,1.0,0,0,1,0,1,6.0,1,0,4,3.0,3.0,2.0,26.0,1950.0,,77,575.0,0,165000.0
"83-20 141 St,  Briarwood NY, 11435",11435,2016-05-04,2016.0,4.0,0,0,1,0,1,,1,0,3,4.0,,4.0,28.0,1950.0,,85,499.0,0,185000.0
"83-10 35th Ave,  Jackson Heights NY, 11372",11372,2016-05-04,2016.0,9.0,1,1,1,0,1,,1,0,3,3.0,1.0,4.0,30.0,1935.0,,98,804.0,0,409000.0
"75-20 113th Street, Forest Hills, NY 11375",11375,2016-05-05,2016.0,6.0,0,0,1,0,0,6.0,1,0,2,,1.0,4.0,28.0,1950.0,500.0,94,475.0,110,145000.0
"219-59 67th Ave,  Bayside NY, 11364",11364,2016-05-06,2016.0,1.0,0,0,2,0,3,2.0,2,0,6,5.0,3.0,4.0,26.0,1980.0,,75,,0,590000.0
"2 Bay Club Dr,  Bayside NY, 11360",11360,2016-05-06,2016.0,2.0,0,0,2,1,2,22.0,2,0,5,3.0,1.0,4.0,25.0,1982.0,,82,,0,620000.0
"132-73 Maple Ave,  Flushing NY, 11355",11355,2016-05-06,2016.0,2.0,0,0,2,0,1,4.0,2,0,5,3.0,3.0,4.0,25.0,2009.0,862.0,97,,0,415000.0
"34-15 74th St,  Jackson Heights NY, 11372",11372,2016-05-08,2016.0,9.0,1,1,1,0,0,,1,0,1,,1.0,2.0,30.0,1950.0,400.0,96,439.0,0,150000.0
"264-03B Langston Ave,  Glen Oaks NY, 11004",11004,2016-05-09,2016.0,7.0,1,1,1,0,2,2.0,1,0,4,3.0,1.0,4.0,26.0,1950.0,,55,698.0,0,267000.0
"102-10 66 Rd,  Forest Hills NY, 11375",11375,2016-05-09,2016.0,6.0,1,1,1,1,1,30.0,1,0,4,,3.0,5.0,28.0,1965.0,,92,1253.0,115,397000.0
"66-04 Grand Central Pky,  Forest Hills NY, 11375",11375,2016-05-10,2016.0,6.0,0,0,1,0,1,,1,0,3,4.0,,2.0,28.0,1950.0,,68,495.0,95,195000.0
"58-56 246 Cres,  Douglaston NY, 11363",11363,2016-05-10,2016.0,1.0,1,0,1,0,3,2.0,1,0,5,3.0,1.0,2.0,26.0,1951.0,,72,1015.0,0,225000.0
"35-11 85th Street, Jackson Heights, NY 11372",11372,2016-05-10,2016.0,9.0,1,1,1,0,1,9.0,1,0,3,4.0,3.0,2.0,30.0,1952.0,,98,559.0,0,210000.0
"25-34 Union St,  Flushing NY, 11354",11354,2016-05-11,2016.0,2.0,1,0,1,0,1,,1,0,3,3.0,3.0,4.0,25.0,1955.0,,82,640.0,0,170000.0
"78-42 Main Street,  Flushing NY, 11367",11367,2016-05-11,2016.0,3.0,0,0,1,1,2,3.0,1,0,4,3.0,1.0,4.0,25.0,1942.0,,90,829.0,100,243000.0
"220-40 75th Ave,  Oakland Gardens NY, 11364",11364,2016-05-12,2016.0,1.0,1,1,1,0,2,2.0,1,0,4,3.0,3.0,4.0,26.0,1950.0,,68,671.0,0,217761.0
"147-20 35th Ave,  Flushing NY, 11354",11354,2016-05-12,2016.0,2.0,0,0,2,0,1,14.0,1,0,5,,3.0,5.0,25.0,1990.0,650.0,97,,0,439000.0
"110-11 Queens Blvd,  Forest Hills NY, 11375",11375,2016-05-12,2016.0,6.0,0,0,1,1,3,33.0,2,0,6,,1.0,4.0,28.0,1965.0,,99,2757.0,150,950000.0
"255-17 74th Ave,  Glen Oaks NY, 11004",11004,2016-05-13,2016.0,7.0,1,1,1,0,2,2.0,1,0,3,5.0,1.0,4.0,26.0,1950.0,,77,698.0,0,275000.0
"Address Not AvailableBayside NY, 11360",11360,2016-05-16,2016.0,2.0,1,0,1,0,1,2.0,1,0,3,3.0,1.0,4.0,25.0,1950.0,700.0,79,735.0,0,132000.0
"131-26 Laurelton Pky,  Rosedale NY, 11422",11422,2016-05-17,2016.0,7.0,0,0,1,0,1,2.0,1,0,4,,3.0,4.0,29.0,1950.0,700.0,73,539.0,0,109500.0
"73-43 255th St,  Glen Oaks NY, 11004",11004,2016-05-17,2016.0,7.0,1,1,1,0,3,2.0,1,0,5,4.0,3.0,4.0,26.0,1950.0,812.0,77,765.0,0,298000.0
"70-25 Yellowstone Blvd,  Forest Hills NY, 11375",11375,2016-05-17,2016.0,6.0,1,0,1,0,1,,1,0,3,3.0,3.0,5.0,28.0,1964.0,,97,874.0,0,285000.0
"155-05 89 St,  Howard Beach NY, 11414",11414,2016-05-18,2016.0,8.0,1,1,1,0,3,2.0,1,1,6,5.0,1.0,2.0,27.0,1965.0,1059.0,77,1148.0,50,231000.0
"219-42 74 Avenue, Bayside, NY 11364",11364,2016-05-19,2016.0,1.0,1,1,1,0,2,2.0,1,0,4,3.0,3.0,4.0,26.0,1950.0,,75,601.0,0,218340.0
